"CPU
 no",GHz,CC,Skylake-SP,Shelf,GHz,CC
E5-4610v4,1.8,10,6126,Gold,2.6,12
E5-4610v4,1.8,10,6130,Gold,2.1,16
E5-4620v2,3,8,5120,Gold,2.2,14
E5-4620v2,3,8,6126,Gold,2.6,12
E5-4620v2,3,8,6130,Gold,2.1,16
E5-4620v2,3,8,6138,Gold,2,20
E5-4620v3,2,10,5120,Gold,2.2,14
E5-4620v3,2,10,6126,Gold,2.6,12
E5-4620v3,2,10,6130,Gold,2.1,16
E5-4620v3,2,10,6138,Gold,2,20
E5-4620v4,2.1,10,5120,Gold,2.2,14
E5-4620v4,2.1,10,6126,Gold,2.6,12
E5-4620v4,2.1,10,6130,Gold,2.1,16
E5-4620v4,2.1,10,6138,Gold,2,20
E5-4627v2,3.3,8,6126,Gold,2.6,12
E5-4627v2,3.3,8,6136,Gold,3,12
E5-4627v2,3.3,8,6142,Gold,2.6,16
E5-4627v2,3.3,8,6152,Gold,2.1,22
E5-4627v3,2.6,10,6126,Gold,2.6,12
E5-4627v3,2.6,10,6136,Gold,3,12
E5-4627v3,2.6,10,6142,Gold,2.6,16
E5-4627v3,2.6,10,6152,Gold,2.1,22
E5-4627v4,2.6,10,6126,Gold,2.6,12
E5-4627v4,2.6,10,6136,Gold,3,12
E5-4627v4,2.6,10,6142,Gold,2.6,16
E5-4627v4,2.6,10,6152,Gold,2.1,22
E5-4640v2,2.2,10,5120,Gold,2.2,14
E5-4640v2,2.2,10,6126,Gold,2.6,12
E5-4640v2,2.2,10,6138,Gold,2,20
E5-4640v2,2.2,10,6142,Gold,2.6,16
E5-4640v2,2.2,10,6152,Gold,2.1,22
E5-4640v3,1.9,12,5120,Gold,2.2,14
E5-4640v3,1.9,12,6126,Gold,2.6,12
E5-4640v3,1.9,12,6138,Gold,2,20
E5-4640v3,1.9,12,6142,Gold,2.6,16
E5-4640v3,1.9,12,6152,Gold,2.1,22
E5-4650v2,2.4,10,5120,Gold,2.2,14
E5-4650v2,2.4,10,6130,Gold,2.1,16
E5-4650v2,2.4,10,6138,Gold,2,20
E5-4650v2,2.4,10,6152,Gold,2.1,22
E5-4650v3,2.1,12,5120,Gold,2.2,14
E5-4650v3,2.1,12,6130,Gold,2.1,16
E5-4650v3,2.1,12,6138,Gold,2,20
E5-4650v3,2.1,12,6152,Gold,2.1,22
E5-4650v4,2.2,14,5120,Gold,2.2,14
E5-4650v4,2.2,14,6130,Gold,2.1,16
E5-4650v4,2.2,14,6138,Gold,2,20
E5-4650v4,2.2,14,6152,Gold,2.1,22
E5-4655v3,2.9,6,6126,Gold,2.6,12
E5-4655v3,2.9,6,6134,Gold,3.2,8
E5-4655v3,2.9,6,6142,Gold,2.6,16
E5-4655v3,2.9,6,6154,Gold,3,18
E5-4655v3,2.9,6,8160,Platinum,2.1,24
E5-4655v4,2.5,8,6126,Gold,2.6,12
E5-4655v4,2.5,8,6134,Gold,3.2,8
E5-4655v4,2.5,8,6142,Gold,2.6,16
E5-4655v4,2.5,8,6154,Gold,3,18
E5-4655v4,2.5,8,8160,Platinum,2.1,24
E5-4667v3,2,16,6152,Gold,2.1,22
E5-4667v3,2,16,8160,Platinum,2.1,24
E5-4667v3,2,16,8164,Platinum,2,26
E5-4667v3,2,16,8170,Platinum,2.1,26
E5-4667v4,2.2,18,6152,Gold,2.1,22
E5-4667v4,2.2,18,8160,Platinum,2.1,24
E5-4667v4,2.2,18,8164,Platinum,2,26
E5-4667v4,2.2,18,8170,Platinum,2.1,26
E5-4669v3,2.1,18,6152,Gold,2.1,22
E5-4669v3,2.1,18,8160,Platinum,2.1,24
E5-4669v3,2.1,18,8164,Platinum,2,26
E5-4669v3,2.1,18,8170,Platinum,2.1,26
E5-4669v4,2.2,22,6152,Gold,2.1,22
E5-4669v4,2.2,22,8160,Platinum,2.1,24
E5-4669v4,2.2,22,8164,Platinum,2,26
E5-4669v4,2.2,22,8170,Platinum,2.1,26
E7-4809v2,1.9,6,5120,Gold,2.2,14
E7-4809v2,1.9,6,6126,Gold,2.6,12
E7-4809v2,1.9,6,6130,Gold,2.1,16
E7-4809v2,1.9,6,6138,Gold,2,20
E7-4809v3,2,8,5120,Gold,2.2,14
E7-4809v3,2,8,6126,Gold,2.6,12
E7-4809v3,2,8,6130,Gold,2.1,16
E7-4809v3,2,8,6138,Gold,2,20
E7-4809v4,2.1,8,5120,Gold,2.2,14
E7-4809v4,2.1,8,6126,Gold,2.6,12
E7-4809v4,2.1,8,6130,Gold,2.1,16
E7-4809v4,2.1,8,6138,Gold,2,20
E7-4820v2,2,8,5120,Gold,2.2,14
E7-4820v2,2,8,6126,Gold,2.6,12
E7-4820v2,2,8,6130,Gold,2.1,16
E7-4820v2,2,8,6138,Gold,2,20
E7-4820v2,2,8,6152,Gold,2.1,22
E7-4820v3,1.9,10,5120,Gold,2.2,14
E7-4820v3,1.9,10,6126,Gold,2.6,12
E7-4820v3,1.9,10,6130,Gold,2.1,16
E7-4820v3,1.9,10,6138,Gold,2,20
E7-4820v3,1.9,10,6152,Gold,2.1,22
E7-4820v4,2,10,5120,Gold,2.2,14
E7-4820v4,2,10,6126,Gold,2.6,12
E7-4820v4,2,10,6130,Gold,2.1,16
E7-4820v4,2,10,6138,Gold,2,20
E7-4820v4,2,10,6152,Gold,2.1,22
E7-4830v2,2.2,10,6132,Gold,2.6,14
E7-4830v2,2.2,10,6138,Gold,2,20
E7-4830v2,2.2,10,6140,Gold,2.3,18
E7-4830v2,2.2,10,6150,Gold,2.7,18
E7-4830v3,2.1,12,6132,Gold,2.6,14
E7-4830v3,2.1,12,6138,Gold,2,20
E7-4830v3,2.1,12,6140,Gold,2.3,18
E7-4830v3,2.1,12,6150,Gold,2.7,18
E7-4830v4,2,14,6132,Gold,2.6,14
E7-4830v4,2,14,6138,Gold,2,20
E7-4830v4,2,14,6140,Gold,2.3,18
E7-4830v4,2,14,6150,Gold,2.7,18
E7-4850v2,2.3,12,6138,Gold,2,20
E7-4850v2,2.3,12,6148,Gold,2.4,20
E7-4850v2,2.3,12,6150,Gold,2.7,18
E7-4850v2,2.3,12,6154,Gold,3,18
E7-4850v3,2.2,14,6138,Gold,2,20
E7-4850v3,2.2,14,6148,Gold,2.4,20
E7-4850v3,2.2,14,6150,Gold,2.7,18
E7-4850v3,2.2,14,6154,Gold,3,18
E7-4850v4,2.1,16,6138,Gold,2,20
E7-4850v4,2.1,16,6148,Gold,2.4,20
E7-4850v4,2.1,16,6150,Gold,2.7,18
E7-4850v4,2.1,16,6154,Gold,3,18
E7-4860v2,2.6,12,6152,Gold,2.1,22
E7-4860v2,2.6,12,8160,Platinum,2.1,24
E7-4860v2,2.6,12,8164,Platinum,2,26
E7-8855v4,2.1,14,8160,Platinum,2.1,24
E7-8857v2,3,12,6150,Gold,2.7,18
E7-8857v2,3,12,6154,Gold,3,18
E7-8857v2,3,12,8168,Platinum,2.7,24
E7-8860v3,2.2,16,6152,Gold,2.1,22
E7-8860v3,2.2,16,8160,Platinum,2.1,24
E7-8860v3,2.2,16,8164,Platinum,2,26
E7-8860v4,2.2,18,6152,Gold,2.1,22
E7-8860v4,2.2,18,8160,Platinum,2.1,24
E7-8860v4,2.2,18,8164,Platinum,2,26
E7-8867v3,2.5,16,6150,Gold,2.7,18
E7-8867v3,2.5,16,6154,Gold,3,18
E7-8867v3,2.5,16,8168,Platinum,2.7,24
E7-8867v4,2.4,18,6150,Gold,2.7,18
E7-8867v4,2.4,18,6154,Gold,3,18
E7-8867v4,2.4,18,8168,Platinum,2.7,24
E7-8870v3,2.1,18,8160,Platinum,2.1,24
E7-8870v3,2.1,18,8164,Platinum,2,26
E7-8870v3,2.1,18,8168,Platinum,2.7,24
E7-8870v4,2.1,20,8160,Platinum,2.1,24
E7-8870v4,2.1,20,8164,Platinum,2,26
E7-8870v4,2.1,20,8168,Platinum,2.7,24
E7-8880v3,2.3,18,8160,Platinum,2.1,24
E7-8880v3,2.3,18,8164,Platinum,2,26
E7-8880v3,2.3,18,8170,Platinum,2.1,26
E7-8880v4,2.2,22,8160,Platinum,2.1,24
E7-8880v4,2.2,22,8164,Platinum,2,26
E7-8880v4,2.2,22,8170,Platinum,2.1,26
E7-8890v3,2.5,18,8170,Platinum,2.1,26
E7-8890v3,2.5,18,8176,Platinum,2.1,28
E7-8890v3,2.5,18,8180,Platinum,2.5,28
E7-8890v4,2.2,24,8170,Platinum,2.1,26
E7-8890v4,2.2,24,8176,Platinum,2.1,28
E7-8890v4,2.2,24,8180,Platinum,2.5,28
E7-8891v2,3.2,10,8158,Platinum,3,12
E7-8891v3,2.8,10,8158,Platinum,3,12
E7-8891v4,2.8,10,8158,Platinum,3,12
E7-8893v2,3.4,6,8156,Platinum,3.6,4
E7-8893v3,3.2,4,8156,Platinum,3.6,4
E7-8893v4,3.2,4,8156,Platinum,3.6,4
E7-8894v4,2.4,24,8180,Platinum,2.5,28
